* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
2, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight, 10, 1, 1
3, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one, 10, 1, 1
4, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:spider, 80, 4, 4
5, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie, 80, 4, 4
6, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie_villager, 10, 1, 1
7, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:skeleton, 80, 4, 4
8, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:creeper, 80, 4, 4
9, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime, 80, 4, 4
10, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:witch, 5, 1, 1
11, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned, 10, 1, 1
12, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer, 30, 1, 1
13, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
14, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
15, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
16, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
17, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
18, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling, 10, 1, 1
19, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_angler, 10, 1, 1
20, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_brute, 10, 1, 1
21, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_priest, 10, 1, 1
22, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_warlock, 10, 1, 1
23, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:coral_golem, 10, 1, 1
24, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
25, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
26, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
27, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
28, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
29, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
30, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
31, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
32, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
33, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
34, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
35, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
36, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
37, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
38, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
39, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
40, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
41, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
42, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
43, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
44, ocean, alexscaves:abyssal_chasm, MONSTER, more_critters:shriekbat, 10, 1, 1
45, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
46, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
47, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
48, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
49, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
50, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
51, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
52, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
53, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
54, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
55, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
56, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
57, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
58, ocean, alexscaves:abyssal_chasm, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
59, ocean, alexscaves:abyssal_chasm, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
60, ocean, alexscaves:abyssal_chasm, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
61, ocean, alexscaves:abyssal_chasm, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
62, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 80, 4, 6
63, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker, 20, 1, 1
64, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid, 10, 1, 4
65, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
66, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
67, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
68, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:giant_squid, 10, 1, 2
69, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
70, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
71, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
72, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexscaves:lanternfish, 80, 15, 20
73, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, collectorsreap:clam, 10, 1, 1
74, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, collectorsreap:urchin, 10, 1, 2
75, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
76, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:comb_jelly, 10, 2, 3
77, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:tripodfish, 40, 1, 2
78, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:sea_pig, 50, 3, 4
79, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:gossamer_worm, 20, 1, 1
80, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
81, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
82, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
83, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
84, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
85, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
86, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 5, 1, 4
87, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
88, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
89, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
90, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
91, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
92, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
93, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
94, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
95, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
96, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
97, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
98, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
99, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
100, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
101, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
102, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
103, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
104, forest, regions_unexplored:alpha_grove, MONSTER, iceandfire:troll, 40, 1, 3
105, forest, regions_unexplored:alpha_grove, MONSTER, golemoverhaul:slime_golem, 25, 1, 2
106, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
107, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
108, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
109, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
110, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
111, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
112, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
113, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
114, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
115, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
116, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
117, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
118, forest, regions_unexplored:alpha_grove, MONSTER, more_critters:shriekbat, 10, 1, 1
119, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
120, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
121, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
122, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
123, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
124, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
125, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
126, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
127, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
128, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
129, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
130, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
131, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
132, forest, regions_unexplored:alpha_grove, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
133, forest, regions_unexplored:alpha_grove, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
134, forest, regions_unexplored:alpha_grove, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
135, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:sheep, 12, 4, 4
136, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:chicken, 10, 4, 4
137, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:cow, 10, 4, 4
138, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:bear, 10, 1, 2
139, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:boar, 10, 3, 4
140, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:butterfly, 10, 3, 6
141, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:cardinal, 10, 3, 4
142, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:deer, 10, 3, 5
143, forest, regions_unexplored:alpha_grove, CREATURE, naturalist:finch, 10, 3, 4
144, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:fox, 10, 1, 2
