1183810:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1398505      395486120  [B (java.base@17.0.15)
   2:        867964       34718560  java.util.LinkedHashMap$Entry (java.base@17.0.15)
   3:        804958       32198320  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
   4:        311588       20812856  [Ljava.lang.Object; (java.base@17.0.15)
   5:         93204       16177232  [I (java.base@17.0.15)
   6:        570523       13692552  java.lang.String (java.base@17.0.15)
   7:         76127       12330304  [Ljava.util.HashMap$Node; (java.base@17.0.15)
   8:        364039       11649248  java.util.HashMap$Node (java.base@17.0.15)
   9:        347545        8341080  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  10:        101641        4878936  [S (java.base@17.0.15)
  11:        169088        4058112  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$5601/0x0000000800e1d410 (minecraft@1.20.1)
  12:         85538        4057200  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  13:        135399        3249576  java.util.ArrayList (java.base@17.0.15)
  14:         68744        2749760  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  15:         85728        2743296  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
  16:        170595        2729520  java.util.Optional (java.base@17.0.15)
  17:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  18:        111855        2684520  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  19:         47142        2639952  java.util.LinkedHashMap (java.base@17.0.15)
  20:        106247        2549928  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
  21:         20827        2497952  java.lang.Class (java.base@17.0.15)
  22:         51988        2495424  java.util.HashMap (java.base@17.0.15)
  23:         52044        2377360  [Ljava.util.Map$Entry; (java.base@17.0.15)
  24:         24137        2317152  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  25:         36497        1751856  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
  26:        101594        1625504  net.minecraft.client.gui.font.providers.UnihexProvider$ShortContents (minecraft@1.20.1)
  27:         31134        1494432  com.google.gson.internal.LinkedTreeMap$Node (com.google.gson@2.10)
  28:         44354        1419328  java.util.Hashtable$Entry (java.base@17.0.15)
  29:         26579        1384616  [D (java.base@17.0.15)
  30:         39920        1277440  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
  31:         52432        1258368  net.minecraft.client.model.geom.ModelPart$Vertex (minecraft@1.20.1)
  32:         50796        1219104  net.minecraft.client.resources.model.ModelResourceLocation (minecraft@1.20.1)
  33:         74994        1199904  com.google.common.collect.RegularImmutableList (com.google.common@31.1-jre)
  34:         23812        1142976  com.google.common.collect.ArrayTable (com.google.common@31.1-jre)
  35:         40741         977784  net.minecraft.resources.ResourceLocation (minecraft@1.20.1)
  36:         28047         897504  org.objectweb.asm.Type (org.objectweb.asm@9.8)
  37:         22220         888800  it.unimi.dsi.fastutil.objects.Object2ObjectArrayMap (it.unimi.dsi.fastutil@8.5.9)
  38:         35454         850896  org.joml.Vector3f (org.joml@1.10.5)
  39:         23813         843456  [[Ljava.lang.Object; (java.base@17.0.15)
  40:         10742         773424  it.unimi.dsi.fastutil.objects.Object2ObjectOpenCustomHashMap (it.unimi.dsi.fastutil@8.5.9)
  41:         24077         770464  com.mojang.datafixers.types.templates.Product$ProductType (datafixerupper@6.0.8)
  42:           357         757824  [C (java.base@17.0.15)
  43:         44845         717520  java.util.jar.Attributes (java.base@17.0.15)
  44:         22252         712064  com.mojang.datafixers.types.templates.Sum$SumType (datafixerupper@6.0.8)
  45:         29614         710736  net.minecraft.client.resources.model.ModelBakery$BakedCacheKey (minecraft@1.20.1)
  46:         14366         689568  java.lang.invoke.MemberName (java.base@17.0.15)
  47:         21500         688000  com.mojang.datafixers.types.templates.Tag$TagType (datafixerupper@6.0.8)
  48:           617         641680  [Lnet.minecraft.client.gui.font.providers.UnihexProvider$Glyph; (minecraft@1.20.1)
  49:         26569         637656  it.unimi.dsi.fastutil.doubles.DoubleArrayList (it.unimi.dsi.fastutil@8.5.9)
  50:         35613         569808  net.minecraft.nbt.StringTag (minecraft@1.20.1)
  51:         11416         547968  com.mojang.blaze3d.platform.NativeImage (minecraft@1.20.1)
  52:         22484         539616  com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet (com.google.common@31.1-jre)
  53:          9318         521808  com.google.gson.internal.LinkedTreeMap (com.google.gson@2.10)
  54:           929         474000  [Ljava.util.Hashtable$Entry; (java.base@17.0.15)
  55:         14243         455776  net.minecraft.core.Holder$Reference (minecraft@1.20.1)
  56:          7945         444920  net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape (minecraft@1.20.1)
  57:          4896         430848  java.lang.reflect.Method (java.base@17.0.15)
