1184669:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1393951      394780944  [B (java.base@17.0.15)
   2:        864292       34571680  java.util.LinkedHashMap$Entry (java.base@17.0.15)
   3:        801325       32053000  jdk.nio.zipfs.ZipFileSystem$IndexNode (jdk.zipfs@17.0.15)
   4:        311493       20808104  [Ljava.lang.Object; (java.base@17.0.15)
   5:         93193       16176656  [I (java.base@17.0.15)
   6:        569612       13670688  java.lang.String (java.base@17.0.15)
   7:         76045       12301872  [Ljava.util.HashMap$Node; (java.base@17.0.15)
   8:        363809       11641888  java.util.HashMap$Node (java.base@17.0.15)
   9:        331017        7944408  com.google.common.collect.ImmutableMapEntry (com.google.common@31.1-jre)
  10:        101641        4878936  [S (java.base@17.0.15)
  11:        169088        4058112  net.minecraft.client.renderer.block.model.multipart.KeyValueCondition$$Lambda$5572/0x0000000800e3dc88 (minecraft@1.20.1)
  12:         85538        4057200  [Lcom.google.common.collect.ImmutableMapEntry; (com.google.common@31.1-jre)
  13:        135345        3248280  java.util.ArrayList (java.base@17.0.15)
  14:        128383        3081192  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry (com.google.common@31.1-jre)
  15:         68744        2749760  com.google.common.collect.RegularImmutableMap (com.google.common@31.1-jre)
  16:         85728        2743296  net.minecraft.client.renderer.block.model.BakedQuad (minecraft@1.20.1)
  17:        170590        2729440  java.util.Optional (java.base@17.0.15)
  18:        112990        2711760  net.minecraft.client.gui.font.providers.UnihexProvider$Glyph (minecraft@1.20.1)
  19:         47121        2638776  java.util.LinkedHashMap (java.base@17.0.15)
  20:        106247        2549928  org.apache.commons.lang3.tuple.ImmutablePair (org.apache.commons.lang3@3.12.0)
  21:         20798        2494704  java.lang.Class (java.base@17.0.15)
  22:         51887        2490576  java.util.HashMap (java.base@17.0.15)
  23:         52044        2377360  [Ljava.util.Map$Entry; (java.base@17.0.15)
  24:         24137        2317152  net.minecraft.world.level.block.state.BlockState (minecraft@1.20.1)
  25:         36497        1751856  com.google.common.collect.HashBiMap$BiEntry (com.google.common@31.1-jre)
