cycle,start_ts,end_ts,status,done_seconds,log_file
1,2026-05-01T05:40:34Z,2026-05-01T05:41:18Z,CRASH,,harness-logs/cycle-001.log
2,2026-05-01T05:41:18Z,2026-05-01T05:41:24Z,CRASH,,harness-logs/cycle-002.log
3,2026-05-01T05:41:24Z,2026-05-01T05:41:30Z,CRASH,,harness-logs/cycle-003.log
4,2026-05-01T05:41:30Z,2026-05-01T05:41:36Z,CRASH,,harness-logs/cycle-004.log
5,2026-05-01T05:41:36Z,2026-05-01T05:41:42Z,CRASH,,harness-logs/cycle-005.log
6,2026-05-01T05:41:42Z,2026-05-01T05:41:48Z,CRASH,,harness-logs/cycle-006.log
7,2026-05-01T05:41:48Z,2026-05-01T05:41:53Z,CRASH,,harness-logs/cycle-007.log
8,2026-05-01T05:41:53Z,2026-05-01T05:41:58Z,CRASH,,harness-logs/cycle-008.log
9,2026-05-01T05:41:58Z,2026-05-01T05:42:03Z,CRASH,,harness-logs/cycle-009.log
10,2026-05-01T05:42:03Z,2026-05-01T05:42:08Z,CRASH,,harness-logs/cycle-010.log
11,2026-05-01T05:42:08Z,2026-05-01T05:42:13Z,CRASH,,harness-logs/cycle-011.log
12,2026-05-01T05:42:13Z,2026-05-01T05:42:18Z,CRASH,,harness-logs/cycle-012.log
13,2026-05-01T05:42:18Z,2026-05-01T05:42:23Z,CRASH,,harness-logs/cycle-013.log
14,2026-05-01T05:42:23Z,2026-05-01T05:42:28Z,CRASH,,harness-logs/cycle-014.log
