cycle,start_ts,end_ts,status,done_seconds,server_port,java_pid,log_file
1,2026-05-01T06:53:18Z,2026-05-01T06:55:50Z,OK,58.762,27105,1552431,harness-logs/cycle-001.log
2,2026-05-01T06:55:50Z,2026-05-01T06:58:25Z,OK,74.059,27105,1554292,harness-logs/cycle-002.log
3,2026-05-01T06:58:25Z,2026-05-01T07:00:28Z,OK,39.147,27105,1556485,harness-logs/cycle-003.log
4,2026-05-01T07:00:28Z,2026-05-01T07:02:42Z,OK,45.732,27105,1557652,harness-logs/cycle-004.log
5,2026-05-01T07:02:42Z,2026-05-01T07:04:49Z,OK,43.976,27105,1558612,harness-logs/cycle-005.log
6,2026-05-01T07:04:49Z,2026-05-01T07:07:30Z,OK,78.219,27106,1559450,harness-logs/cycle-006.log
7,2026-05-01T07:07:30Z,2026-05-01T07:09:39Z,OK,40.925,27107,1560727,harness-logs/cycle-007.log
8,2026-05-01T07:09:39Z,2026-05-01T07:11:39Z,OK,41.670,27108,1561601,harness-logs/cycle-008.log
9,2026-05-01T07:11:40Z,2026-05-01T07:14:44Z,OK,103.928,27109,1562435,harness-logs/cycle-009.log
10,2026-05-01T07:14:44Z,2026-05-01T07:16:56Z,OK,45.225,27110,1563456,harness-logs/cycle-010.log
